,open,high,low,close
131,7076.24000000,7521.78000000,6750.00000000,6967.31000000
132,6968.24000000,8100.00000000,6870.00000000,7790.71000000
133,7795.62000000,8366.00000000,7599.56000000,7947.56000000
134,7945.26000000,8249.00000000,7850.00000000,8169.87000000
135,8169.08000000,8320.00000000,7705.00000000,7866.59000000
136,7868.67000000,7925.00000000,6913.00000000,7355.26000000
137,7355.28000000,7458.00000000,7156.61000000,7257.45000000
138,7257.32000000,8275.09000000,7243.08000000,8148.48000000
139,8147.94000000,8156.03000000,7553.00000000,7938.15000000
140,7937.16000000,8042.32000000,7771.00000000,7904.87000000
141,7904.48000000,8016.00000000,7465.00000000,7628.43000000
142,7627.80000000,7940.98000000,7461.00000000,7851.51000000
143,7849.95000000,8130.00000000,7766.00000000,7964.87000000
144,7964.52000000,8091.80000000,7908.34000000,8025.41000000
